kit,algorithm,variant,fms,fms_raw,n_disconnected,too_pessimistic,too_optimistic,matched
01_Net3_targeted-27,water_network_fairshare,margin_2.0+split_full,0.9957,0.9957,0,0,1,58
02_Net1_both-12,water_network_fairshare,margin_2.0+split_full,0.8661,0.8661,0,0,3,5
03_Zampis_targeted-22,water_network_fairshare,margin_2.0+split_full,0.8441,0.8441,0,42,118,441
04_Net1_cluster-10,water_network_fairshare,margin_2.0+split_full,1.0,1.0,1,0,0,8
05_Cassacco_targeted-2,water_network_fairshare,margin_2.0+split_full,1.0,0.7337,410,0,0,410
06_Zampis_targeted-22,water_network_fairshare,margin_2.0+split_full,0.7521,0.7521,2,48,200,353
07_Cassacco_targeted-3,water_network_fairshare,margin_2.0+split_full,1.0,0.8085,243,0,0,410
08_Net3_cluster-17,water_network_fairshare,margin_2.0+split_full,0.9504,0.9504,1,4,0,55
09_Zampis_targeted-26,water_network_fairshare,margin_2.0+split_full,0.7804,0.7804,0,198,0,403
10_Net3_targeted-4,water_network_fairshare,margin_2.0+split_full,0.9887,0.9887,0,0,3,56
