kit,algorithm,variant,fms,fms_raw,n_disconnected,too_pessimistic,too_optimistic,matched
04_Net1_cluster-10,water_network,margin_5.0,1.0,1.0,1,0,0,8
04_Net1_cluster-10,water_network,bidir_1.0,0.6818,0.6818,1,3,0,5
04_Net1_cluster-10,water_network,bidir_0.5,0.6818,0.6818,1,3,0,5
04_Net1_cluster-10,water_network,uncap_pv,0.7273,0.7273,1,3,0,5
04_Net1_cluster-10,water_network,supply_unbounded,0.7273,0.7273,1,3,0,5
04_Net1_cluster-10,water_network,split_floor_0.5,0.6364,0.6364,1,4,0,4
04_Net1_cluster-10,water_network,split_full,0.9318,0.9318,1,1,0,7
04_Net1_cluster-10,water_network,bidir+vfloor_1.0,0.6818,0.6818,1,3,0,5
04_Net1_cluster-10,water_network,bidir+margin_1.5,0.6818,0.6818,1,3,0,5
04_Net1_cluster-10,water_network,bidir+uncap_pv,0.6818,0.6818,1,3,0,5
04_Net1_cluster-10,water_network,margin_2.0+split_full,1.0,1.0,1,0,0,8
04_Net1_cluster-10,water_network,margin_3.0+split_full,1.0,1.0,1,0,0,8
04_Net1_cluster-10,water_network,margin_2.0+split_0.5,1.0,1.0,1,0,0,8
05_Cassacco_targeted-2,water_network,control,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,vfloor_0.5,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,vfloor_1.0,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,vfloor_2.0,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,constv_1.0,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,constv_2.0,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,margin_1.5,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,margin_2.0,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,margin_3.0,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,margin_5.0,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,bidir_1.0,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,bidir_0.5,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,uncap_pv,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,supply_unbounded,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,split_floor_0.5,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,split_full,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,bidir+vfloor_1.0,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,bidir+margin_1.5,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,bidir+uncap_pv,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,margin_2.0+split_full,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,margin_3.0+split_full,1.0,0.7337,410,0,0,410
05_Cassacco_targeted-2,water_network,margin_2.0+split_0.5,1.0,0.7337,410,0,0,410
06_Zampis_targeted-22,water_network,control,0.7585,0.7585,2,150,93,358
06_Zampis_targeted-22,water_network,vfloor_0.5,0.7553,0.7553,2,149,96,356
06_Zampis_targeted-22,water_network,vfloor_1.0,0.7553,0.7553,2,150,96,355
06_Zampis_targeted-22,water_network,vfloor_2.0,0.7624,0.7624,2,134,106,361
06_Zampis_targeted-22,water_network,constv_1.0,0.7636,0.7636,2,179,60,362
06_Zampis_targeted-22,water_network,constv_2.0,0.7624,0.7624,2,134,106,361
06_Zampis_targeted-22,water_network,margin_1.5,0.7946,0.7946,2,102,113,386
06_Zampis_targeted-22,water_network,margin_2.0,0.8429,0.8429,2,57,121,423
06_Zampis_targeted-22,water_network,margin_3.0,0.7791,0.7791,2,50,177,374
